;nazwa zdjecia;klasy;prawdopodobienstwa;bbox'y
0;000000000139.jpg;0.0;0.8045035600662231;[411.1598815917969, 157.09979248046875, 465.6111145019531, 296.402587890625]
1;000000000139.jpg;72.0;0.7618914842605591;[491.6318359375, 171.32211303710938, 512.9537353515625, 284.4153747558594]
2;000000000139.jpg;72.0;0.4410214424133301;[476.5084228515625, 168.25582885742188, 513.55224609375, 285.4861145019531]
0;000000000724.jpg;11.0;0.9687764048576355;[119.76752471923828, 71.67911529541016, 255.31756591796875, 226.2065887451172]
1;000000000724.jpg;11.0;0.8206157088279724;[202.8012237548828, 259.8865966796875, 221.15029907226562, 286.1911315917969]
0;000000000776.jpg;77.0;0.8338801860809326;[97.26933288574219, 0.65869140625, 427.70269775390625, 536.2516479492188]
1;000000000776.jpg;77.0;0.7550820112228394;[0.443389892578125, 54.302978515625, 324.2043762207031, 638.9130859375]
2;000000000776.jpg;77.0;0.6266852617263794;[0.7109375, 269.5928955078125, 322.1568603515625, 639.4405517578125]
0;000000000785.jpg;0.0;0.950190007686615;[279.4742431640625, 43.299285888671875, 497.26251220703125, 391.1214904785156]
0;000000000802.jpg;72.0;0.9697065949440002;[244.1038818359375, 187.92578125, 411.5263671875, 534.5204467773438]
0;000000000872.jpg;0.0;0.8973203301429749;[158.322021484375, 129.83447265625, 424.4840087890625, 606.0868530273438]
1;000000000872.jpg;0.0;0.7204025387763977;[298.23052978515625, 101.37960815429688, 434.83221435546875, 409.1310729980469]
0;000000000885.jpg;0.0;0.9392859935760498;[278.06768798828125, 187.4969024658203, 416.749267578125, 397.63482666015625]
1;000000000885.jpg;0.0;0.88469398021698;[594.5602416992188, 25.88720703125, 639.7177124023438, 249.840087890625]
2;000000000885.jpg;0.0;0.7558700442314148;[289.249267578125, 89.14706420898438, 404.570556640625, 252.68011474609375]
3;000000000885.jpg;0.0;0.6936154365539551;[260.83526611328125, 0.0, 331.85687255859375, 11.791261672973633]
4;000000000885.jpg;0.0;0.6118281483650208;[419.62042236328125, 0.0, 470.24554443359375, 13.357711791992188]
5;000000000885.jpg;0.0;0.49215981364250183;[186.21844482421875, 0.5104484558105469, 255.28424072265625, 11.809612274169922]
6;000000000885.jpg;0.0;0.4783574938774109;[538.7138671875, 0.08488082885742188, 610.583984375, 15.458721160888672]
7;000000000885.jpg;0.0;0.4197160303592682;[498.07489013671875, 0.17612075805664062, 550.4660034179688, 14.213550567626953]
8;000000000885.jpg;0.0;0.3164157569408417;[0.9310417175292969, 0.0, 56.22797393798828, 8.21921157836914]
9;000000000885.jpg;0.0;0.2749567925930023;[606.9725341796875, 0.0, 639.5606689453125, 15.541568756103516]
10;000000000885.jpg;0.0;0.265030175447464;[114.02971649169922, 0.010135650634765625, 170.9088134765625, 9.58172607421875]
0;000000001000.jpg;0.0;0.9474488496780396;[503.4289245605469, 190.12098693847656, 639.623779296875, 479.49951171875]
1;000000001000.jpg;0.0;0.9108575582504272;[117.19788360595703, 150.1944580078125, 197.4481201171875, 380.6392822265625]
2;000000001000.jpg;0.0;0.8986716270446777;[264.5037536621094, 97.05020141601562, 355.3892517089844, 411.9093017578125]
3;000000001000.jpg;0.0;0.8886809945106506;[411.906494140625, 210.86744689941406, 524.2645874023438, 479.9669189453125]
4;000000001000.jpg;0.0;0.8643227219581604;[326.69573974609375, 152.21673583984375, 413.78216552734375, 471.429931640625]
5;000000001000.jpg;0.0;0.8452873229980469;[437.1036376953125, 107.98275756835938, 498.39862060546875, 224.477783203125]
6;000000001000.jpg;0.0;0.8365730047225952;[49.54616928100586, 185.22010803222656, 112.298828125, 395.8685302734375]
