;nazwa zdjecia;klasy;bbox'y
0;000000000139.jpg;0;[412.8, 157.61, 53.05, 138.01]
0;000000000139.jpg;0;[384.43, 172.21, 15.12, 35.74]
0;000000000139.jpg;72;[493.1, 174.34, 20.29, 108.31]
0;000000000724.jpg;11;[202.38, 259.9, 19.01, 26.06]
0;000000000724.jpg;11;[120.07, 71.83, 134.49, 153.08]
0;000000000776.jpg;77;[1.44, 56.22, 344.51, 471.35]
0;000000000776.jpg;77;[94.92, 5.75, 332.23, 545.08]
0;000000000776.jpg;77;[2.88, 278.2, 317.12, 354.59]
0;000000000785.jpg;0;[280.79, 44.73, 218.7, 346.68]
0;000000000802.jpg;72;[245.05, 185.23, 165.76, 356.03]
0;000000000872.jpg;0;[145.26, 100.67, 291.95, 457.35]
0;000000000872.jpg;0;[163.73, 126.42, 265.69, 480.4]
0;000000000885.jpg;0;[281.02, 89.81, 111.83, 169.55]
0;000000000885.jpg;0;[541.88, 1.73, 65.84, 10.12]
0;000000000885.jpg;0;[1.11, 0.56, 58.94, 8.89]
0;000000000885.jpg;0;[499.47, 0.76, 75.17, 13.38]
0;000000000885.jpg;0;[434.7, 0.33, 32.79, 12.67]
0;000000000885.jpg;0;[595.68, 25.78, 43.37, 227.48]
0;000000000885.jpg;0;[277.31, 189.99, 140.09, 208.22]
0;000000000885.jpg;0;[287.39, 0.19, 44.65, 11.46]
0;000000001000.jpg;0;[115.16, 152.13, 83.23, 228.41]
0;000000001000.jpg;0;[405.93, 120.42, 37.13, 45.52]
0;000000001000.jpg;0;[265.33, 95.86, 88.92, 315.88]
0;000000001000.jpg;0;[349.49, 118.71, 52.64, 41.13]
0;000000001000.jpg;0;[52.14, 185.12, 59.26, 212.53]
0;000000001000.jpg;0;[183.4, 121.34, 95.77, 272.75]
0;000000001000.jpg;0;[410.75, 107.03, 88.09, 121.16]
0;000000001000.jpg;0;[380.85, 159.91, 88.44, 319.25]
0;000000001000.jpg;0;[330.07, 154.25, 83.05, 313.88]
0;000000001000.jpg;0;[504.67, 191.95, 135.33, 288.05]
0;000000001000.jpg;0;[209.23, 174.64, 99.63, 249.08]
0;000000001000.jpg;0;[410.2, 208.53, 114.9, 271.47]
0;000000001268.jpg;14;[192.81, 224.8, 74.73, 33.43]
0;000000001268.jpg;8;[124.77, 124.71, 139.54, 17.07]
0;000000001268.jpg;0;[0.0, 209.18, 24.95, 80.6]
0;000000001268.jpg;0;[402.34, 205.02, 65.26, 88.45]
0;000000001268.jpg;8;[291.52, 86.03, 121.67, 57.45]
0;000000001268.jpg;0;[501.68, 77.66, 138.32, 343.71]
0;000000001268.jpg;0;[23.27, 213.41, 53.53, 69.47]
0;000000001268.jpg;8;[0.0, 129.71, 105.44, 15.14]
0;000000001296.jpg;0;[262.64, 25.32, 146.96, 213.33]
0;000000001296.jpg;0;[7.16, 1.57, 419.84, 634.27]
0;000000001353.jpg;0;[214.61, 154.48, 66.51, 129.11]
0;000000001353.jpg;0;[133.97, 180.55, 76.06, 72.71]
0;000000001353.jpg;0;[148.91, 136.52, 75.5, 52.59]
0;000000001353.jpg;0;[62.11, 213.83, 116.69, 142.88]
0;000000001353.jpg;0;[138.58, 198.11, 128.05, 184.54]
0;000000001353.jpg;0;[188.63, 182.78, 32.01, 62.73]
0;000000001490.jpg;0;[448.87, 118.36, 50.9, 122.83]
0;000000001503.jpg;63;[0.54, 99.78, 125.66, 135.91]
0;000000001584.jpg;0;[212.3, 168.78, 18.46, 20.54]
0;000000001584.jpg;0;[91.2, 388.59, 13.24, 34.51]
0;000000001584.jpg;0;[78.08, 377.61, 19.13, 52.71]
0;000000001584.jpg;0;[101.88, 397.58, 13.24, 32.26]
0;000000001584.jpg;0;[113.58, 391.79, 13.0, 38.63]
0;000000001584.jpg;0;[121.36, 389.73, 6.97, 21.17]
0;000000001584.jpg;0;[298.91, 334.71, 34.86, 33.46]
0;000000001584.jpg;0;[435.63, 338.17, 16.22, 24.83]
0;000000001584.jpg;0;[190.33, 304.78, 59.38, 65.71]
0;000000001584.jpg;0;[297.18, 160.75, 25.33, 20.87]
0;000000001584.jpg;0;[174.41, 170.29, 29.35, 22.95]
0;000000001675.jpg;15;[0.0, 14.01, 640.0, 293.56]
0;000000001761.jpg;0;[21.28, 617.1, 7.33, 10.64]
0;000000001761.jpg;0;[15.58, 614.97, 6.23, 12.85]
0;000000001761.jpg;0;[4.28, 616.35, 7.22, 9.79]
0;000000001761.jpg;0;[11.61, 615.96, 4.84, 11.55]
0;000000001761.jpg;4;[150.17, 8.63, 74.09, 77.19]
0;000000001761.jpg;4;[282.23, 139.38, 51.22, 43.78]
0;000000001761.jpg;0;[36.24, 625.74, 4.8, 7.24]
0;000000002006.jpg;0;[9.34, 51.89, 24.14, 24.13]
0;000000002006.jpg;0;[313.11, 189.53, 64.8, 67.14]
0;000000002006.jpg;0;[5.23, 252.99, 45.73, 108.46]
0;000000002153.jpg;0;[283.4, 274.77, 182.91, 170.27]
0;000000002153.jpg;0;[275.4, 302.2, 103.79, 134.55]
0;000000002153.jpg;0;[174.64, 0.0, 64.68, 119.95]
0;000000002153.jpg;0;[371.62, 207.81, 62.3, 197.28]
0;000000002261.jpg;0;[283.65, 152.28, 98.34, 119.45]
0;000000002299.jpg;0;[331.91, 131.75, 66.35, 117.15]
0;000000002299.jpg;0;[394.3, 127.59, 40.72, 92.29]
0;000000002299.jpg;0;[431.19, 134.39, 42.6, 141.41]
0;000000002299.jpg;0;[139.9, 190.55, 72.04, 107.81]
0;000000002299.jpg;0;[60.0, 32.96, 53.21, 106.88]
